id,rater_1,rater_2,rater_3,majority,unanimous
133,yes,yes,yes,yes,1
134,yes,yes,yes,yes,1
135,yes,yes,yes,yes,1
136,yes,yes,yes,yes,1
137,yes,yes,yes,yes,1
138,no,yes,yes,yes,0
139,yes,yes,yes,yes,1
140,no,no,yes,no,0
141,yes,yes,yes,yes,1
142,yes,yes,yes,yes,1
143,yes,yes,yes,yes,1
144,no,no,no,no,1
145,no,yes,yes,yes,0
146,yes,yes,yes,yes,1
147,yes,yes,yes,yes,1
148,yes,yes,yes,yes,1
149,yes,no,yes,yes,0
150,yes,yes,yes,yes,1
151,yes,yes,yes,yes,1
152,no,no,yes,no,0
153,yes,yes,yes,yes,1
154,yes,yes,yes,yes,1
155,no,yes,yes,yes,0
156,yes,yes,yes,yes,1
157,no,no,no,no,1
158,no,no,yes,no,0
159,no,no,yes,no,0
160,yes,yes,yes,yes,1
161,yes,yes,yes,yes,1
162,no,yes,yes,yes,0
163,yes,yes,yes,yes,1
164,yes,yes,yes,yes,1
165,no,no,no,no,1
166,yes,yes,yes,yes,1
167,yes,no,yes,yes,0
168,yes,yes,yes,yes,1
169,yes,yes,yes,yes,1
170,yes,yes,yes,yes,1
171,yes,yes,yes,yes,1
172,yes,no,yes,yes,0
173,yes,yes,yes,yes,1
174,yes,yes,yes,yes,1
175,no,no,no,no,1
176,no,yes,yes,yes,0
177,no,yes,yes,yes,0
178,no,no,yes,no,0
179,no,yes,yes,yes,0
180,yes,yes,yes,yes,1
181,no,no,yes,no,0
182,no,no,yes,no,0
183,no,no,yes,no,0
184,yes,yes,yes,yes,1
185,no,no,yes,no,0
186,yes,yes,yes,yes,1
187,no,yes,yes,yes,0
188,no,no,no,no,1
189,yes,yes,yes,yes,1
190,yes,no,yes,yes,0
191,yes,yes,yes,yes,1
192,no,no,yes,no,0
193,no,no,no,no,1
194,yes,yes,yes,yes,1
195,yes,yes,yes,yes,1
196,no,yes,yes,yes,0
197,no,yes,yes,yes,0
198,no,no,no,no,1
199,no,yes,yes,yes,0
200,yes,yes,yes,yes,1
201,no,no,yes,no,0
202,yes,yes,yes,yes,1
203,no,no,no,no,1
204,no,no,no,no,1
205,no,no,yes,no,0
206,no,yes,no,no,0
207,no,no,no,no,1
208,yes,yes,yes,yes,1
209,yes,yes,yes,yes,1
210,yes,yes,yes,yes,1
211,yes,yes,yes,yes,1
212,no,no,no,no,1
213,no,no,no,no,1
214,yes,yes,yes,yes,1
215,yes,yes,yes,yes,1
216,no,no,yes,no,0
217,yes,no,yes,yes,0
218,yes,no,yes,yes,0
219,no,no,yes,no,0
220,yes,no,yes,yes,0
221,yes,no,yes,yes,0
222,no,yes,yes,yes,0
223,no,no,yes,no,0
224,yes,no,no,no,0
225,no,no,yes,no,0
226,yes,yes,yes,yes,1
227,no,no,yes,no,0
228,no,no,no,no,1
229,no,no,no,no,1
230,no,yes,yes,yes,0
231,no,no,no,no,1
232,yes,yes,yes,yes,1
233,no,no,no,no,1
234,yes,yes,yes,yes,1
235,yes,no,yes,yes,0
236,yes,yes,yes,yes,1
237,yes,yes,no,yes,0
238,yes,yes,no,yes,0
239,yes,no,yes,yes,0
240,yes,no,yes,yes,0
241,yes,yes,yes,yes,1
242,no,no,no,no,1
243,no,no,no,no,1
244,no,no,yes,no,0
245,no,no,no,no,1
246,yes,yes,yes,yes,1
247,no,no,yes,no,0
248,no,no,no,no,1
249,yes,yes,yes,yes,1
250,yes,no,yes,yes,0
251,yes,no,yes,yes,0
252,yes,no,yes,yes,0
253,yes,yes,yes,yes,1
254,yes,no,yes,yes,0
255,yes,no,no,no,0
256,no,no,no,no,1
257,yes,no,no,no,0
258,no,no,no,no,1
259,no,no,no,no,1
260,no,no,no,no,1
261,no,no,no,no,1
262,no,yes,no,no,0
263,yes,no,no,no,0
264,no,no,no,no,1
265,yes,yes,yes,yes,1
266,yes,yes,yes,yes,1
267,yes,no,yes,yes,0
268,yes,yes,yes,yes,1
269,yes,yes,yes,yes,1
270,yes,yes,yes,yes,1
271,yes,yes,no,yes,0
272,yes,yes,yes,yes,1
273,yes,yes,yes,yes,1
274,yes,yes,yes,yes,1
275,yes,yes,yes,yes,1
276,yes,yes,yes,yes,1
277,yes,yes,yes,yes,1
278,no,no,no,no,1
279,yes,yes,yes,yes,1
280,no,no,yes,no,0
281,yes,yes,yes,yes,1
282,yes,yes,yes,yes,1
283,no,yes,yes,yes,0
284,yes,yes,yes,yes,1
285,no,yes,no,no,0
286,no,yes,yes,yes,0
287,no,no,yes,no,0
288,yes,yes,yes,yes,1
289,yes,yes,yes,yes,1
290,yes,yes,yes,yes,1
291,yes,yes,yes,yes,1
292,yes,yes,yes,yes,1
293,yes,yes,yes,yes,1
294,yes,yes,yes,yes,1
295,yes,yes,yes,yes,1
296,yes,yes,yes,yes,1
297,yes,yes,yes,yes,1
298,yes,yes,yes,yes,1
299,yes,yes,yes,yes,1
300,yes,yes,yes,yes,1
301,yes,yes,yes,yes,1
302,yes,yes,yes,yes,1
303,yes,yes,yes,yes,1
304,no,no,yes,no,0
305,yes,no,yes,yes,0
306,yes,yes,yes,yes,1
307,no,no,yes,no,0
308,no,no,yes,no,0
309,no,no,yes,no,0
310,no,no,yes,no,0
311,no,no,yes,no,0
312,no,no,yes,no,0
313,no,no,yes,no,0
314,no,no,yes,no,0
315,yes,yes,yes,yes,1
316,no,no,no,no,1
317,no,no,no,no,1
318,yes,yes,yes,yes,1
319,no,no,yes,no,0
320,no,yes,no,no,0
321,no,no,yes,no,0
322,no,no,yes,no,0
323,no,no,no,no,1
324,yes,yes,yes,yes,1
325,yes,yes,yes,yes,1
326,yes,yes,yes,yes,1
327,yes,yes,yes,yes,1
328,yes,yes,yes,yes,1
329,yes,yes,yes,yes,1
330,yes,yes,yes,yes,1
331,yes,yes,yes,yes,1
332,yes,yes,yes,yes,1
333,yes,yes,yes,yes,1
334,yes,yes,yes,yes,1
335,yes,yes,yes,yes,1
336,yes,yes,yes,yes,1
337,yes,yes,yes,yes,1
338,yes,yes,yes,yes,1
339,yes,yes,yes,yes,1
340,yes,yes,yes,yes,1
341,yes,yes,yes,yes,1
342,yes,yes,yes,yes,1
343,yes,yes,yes,yes,1
344,yes,yes,yes,yes,1
345,yes,yes,yes,yes,1
346,no,yes,yes,yes,0
347,yes,yes,yes,yes,1
348,no,no,no,no,1
349,no,no,no,no,1
350,no,no,yes,no,0
351,yes,yes,yes,yes,1
352,yes,no,yes,yes,0
353,yes,no,yes,yes,0
354,yes,yes,yes,yes,1
355,yes,no,yes,yes,0
356,yes,yes,yes,yes,1
357,no,yes,yes,yes,0
358,yes,no,yes,yes,0
359,yes,yes,yes,yes,1
360,yes,no,yes,yes,0
361,no,no,yes,no,0
362,yes,yes,yes,yes,1
363,yes,yes,yes,yes,1
364,no,no,yes,no,0
365,yes,yes,yes,yes,1
366,yes,yes,yes,yes,1
367,yes,yes,yes,yes,1
368,yes,no,yes,yes,0
369,no,no,no,no,1
370,yes,yes,yes,yes,1
371,yes,yes,yes,yes,1
372,yes,yes,yes,yes,1
373,no,no,yes,no,0
374,no,no,yes,no,0
375,no,yes,yes,yes,0
376,yes,yes,yes,yes,1
377,yes,yes,yes,yes,1
378,yes,yes,yes,yes,1
379,yes,yes,yes,yes,1
380,yes,yes,yes,yes,1
381,yes,yes,yes,yes,1
382,yes,yes,yes,yes,1
383,yes,yes,yes,yes,1
384,yes,yes,yes,yes,1
385,yes,yes,yes,yes,1
386,yes,yes,yes,yes,1
387,no,no,no,no,1
388,no,yes,yes,yes,0
389,yes,yes,yes,yes,1
390,yes,yes,yes,yes,1
391,yes,yes,yes,yes,1
392,yes,yes,yes,yes,1
393,yes,yes,yes,yes,1
394,yes,yes,yes,yes,1
395,no,no,no,no,1
396,no,no,no,no,1
397,no,no,no,no,1
398,no,no,no,no,1
399,no,no,no,no,1
400,no,no,no,no,1
401,no,no,no,no,1
402,no,no,yes,no,0
403,no,no,no,no,1
404,no,no,no,no,1
405,no,no,no,no,1
406,no,no,no,no,1
407,no,no,no,no,1
408,yes,no,yes,yes,0
409,no,no,no,no,1
410,yes,yes,yes,yes,1
411,no,no,yes,no,0
412,yes,yes,yes,yes,1
413,yes,no,no,no,0
414,yes,no,no,no,0
415,yes,yes,yes,yes,1
416,yes,yes,yes,yes,1
417,no,yes,yes,yes,0
418,no,no,yes,no,0
419,yes,yes,yes,yes,1
420,yes,yes,yes,yes,1
421,yes,yes,yes,yes,1
422,yes,yes,yes,yes,1
423,no,no,no,no,1
424,yes,yes,yes,yes,1
425,yes,yes,yes,yes,1
426,no,yes,yes,yes,0
427,no,yes,yes,yes,0
428,yes,yes,yes,yes,1
429,no,yes,yes,yes,0
430,yes,yes,yes,yes,1
431,yes,no,no,no,0
432,yes,no,yes,yes,0
433,yes,no,yes,yes,0
434,yes,yes,yes,yes,1
435,yes,yes,yes,yes,1
436,yes,yes,yes,yes,1
437,yes,no,yes,yes,0
438,yes,yes,yes,yes,1
439,yes,yes,yes,yes,1
440,yes,yes,yes,yes,1
441,yes,yes,yes,yes,1
442,yes,yes,yes,yes,1
443,no,no,yes,no,0
444,yes,yes,yes,yes,1
445,yes,no,yes,yes,0
446,yes,yes,yes,yes,1
447,yes,yes,yes,yes,1
448,yes,yes,yes,yes,1
449,yes,yes,yes,yes,1
450,no,no,yes,no,0
451,yes,yes,yes,yes,1
452,no,no,yes,no,0
453,yes,yes,yes,yes,1
454,yes,no,yes,yes,0
455,no,yes,yes,yes,0
456,no,no,no,no,1
457,no,no,yes,no,0
458,yes,no,yes,yes,0
459,yes,yes,yes,yes,1
460,yes,yes,yes,yes,1
461,yes,yes,yes,yes,1
462,yes,yes,yes,yes,1
463,no,no,no,no,1
464,no,no,no,no,1
465,no,no,no,no,1
466,no,no,no,no,1
467,no,no,no,no,1
468,no,no,no,no,1
469,no,no,no,no,1
470,no,no,no,no,1
471,no,no,no,no,1
472,no,no,no,no,1
473,no,no,no,no,1
474,no,no,no,no,1
475,no,yes,yes,yes,0
476,no,no,no,no,1
477,no,no,no,no,1
478,no,no,no,no,1
479,no,no,no,no,1
480,no,no,no,no,1
481,no,no,no,no,1
482,no,no,no,no,1
483,no,no,no,no,1
484,yes,no,no,no,0
485,no,no,no,no,1
486,no,no,no,no,1
487,no,no,no,no,1
488,no,no,no,no,1
489,no,no,no,no,1
490,no,no,no,no,1
491,no,no,no,no,1
492,no,no,no,no,1
493,no,no,no,no,1
494,no,no,no,no,1
495,yes,no,no,no,0
496,no,no,no,no,1
497,no,no,no,no,1
498,no,yes,yes,yes,0
499,yes,no,no,no,0
500,no,no,no,no,1
501,no,no,no,no,1
502,no,no,no,no,1
503,no,yes,yes,yes,0
504,no,no,no,no,1
505,no,no,no,no,1
506,no,no,no,no,1
507,no,no,no,no,1
508,no,no,yes,no,0
509,no,no,no,no,1
510,no,no,no,no,1
511,no,no,no,no,1
512,no,no,no,no,1
513,no,no,no,no,1
514,no,no,no,no,1
515,no,no,no,no,1
516,no,no,no,no,1
517,no,no,no,no,1
518,no,no,no,no,1
519,no,no,no,no,1
520,no,no,no,no,1
521,no,no,no,no,1
522,no,no,no,no,1
523,yes,yes,yes,yes,1
524,no,no,no,no,1
525,no,no,no,no,1
526,no,no,no,no,1
527,no,no,no,no,1
528,no,no,no,no,1
529,no,no,no,no,1
530,no,no,no,no,1
531,no,no,no,no,1
532,no,no,no,no,1
533,no,no,no,no,1
534,no,no,no,no,1
535,no,no,no,no,1
536,no,no,no,no,1
537,no,no,no,no,1
538,no,no,no,no,1
539,no,no,no,no,1
540,no,no,no,no,1
541,no,no,no,no,1
542,no,no,no,no,1
543,no,no,no,no,1
544,no,no,no,no,1
545,yes,no,yes,yes,0
546,no,no,no,no,1
547,no,no,no,no,1
548,no,no,no,no,1
549,no,no,no,no,1
550,no,no,no,no,1
551,no,no,no,no,1
552,no,no,no,no,1
553,no,no,no,no,1
554,no,no,no,no,1
555,no,no,no,no,1
556,no,no,no,no,1
557,no,no,no,no,1
558,yes,no,yes,yes,0
559,no,no,no,no,1
560,no,no,no,no,1
561,no,no,no,no,1
562,no,no,no,no,1
563,no,no,no,no,1
564,no,no,no,no,1
565,no,no,no,no,1
566,no,no,no,no,1
567,no,no,no,no,1
568,no,no,no,no,1
569,no,no,no,no,1
570,no,no,no,no,1
571,no,no,no,no,1
572,no,no,no,no,1
573,no,no,no,no,1
574,no,no,no,no,1
575,no,no,no,no,1
576,no,no,no,no,1
577,no,no,no,no,1
578,no,no,no,no,1
579,no,no,no,no,1
580,no,no,no,no,1
581,no,no,no,no,1
582,no,no,no,no,1
583,no,no,no,no,1
584,no,no,no,no,1
585,no,no,no,no,1
586,no,no,yes,no,0
587,no,no,no,no,1
588,yes,no,yes,yes,0
589,no,no,no,no,1
590,no,no,no,no,1
591,no,no,no,no,1
592,no,no,no,no,1
593,no,no,no,no,1
594,no,no,no,no,1
595,no,no,no,no,1
596,no,no,yes,no,0
597,no,no,no,no,1
598,no,no,no,no,1
599,no,no,no,no,1
600,no,no,no,no,1
601,no,no,no,no,1
602,no,no,no,no,1
603,no,no,no,no,1
604,no,no,no,no,1
605,no,no,no,no,1
606,no,no,no,no,1
607,yes,no,no,no,0
608,no,no,no,no,1
609,no,no,no,no,1
610,no,no,no,no,1
611,no,no,no,no,1
612,no,no,no,no,1
613,no,no,no,no,1
614,no,no,no,no,1
615,no,no,no,no,1
616,no,no,no,no,1
617,no,no,no,no,1
618,no,no,no,no,1
619,no,no,no,no,1
620,no,no,no,no,1
621,no,no,no,no,1
622,no,no,no,no,1
623,no,no,no,no,1
624,no,no,no,no,1
625,no,no,no,no,1
626,no,no,no,no,1
627,no,no,no,no,1
628,no,no,no,no,1
629,no,no,no,no,1
630,no,no,no,no,1
631,no,no,no,no,1
632,no,no,no,no,1
633,no,no,no,no,1
634,no,no,no,no,1
635,no,no,no,no,1
636,no,no,no,no,1
637,no,no,no,no,1
638,no,no,no,no,1
639,no,no,no,no,1
640,no,no,no,no,1
641,no,no,no,no,1
642,no,no,no,no,1
643,no,no,no,no,1
644,no,no,no,no,1
645,no,no,no,no,1
646,no,no,no,no,1
647,no,no,no,no,1
648,no,no,no,no,1
649,no,no,no,no,1
650,no,no,no,no,1
651,no,no,no,no,1
652,no,no,no,no,1
653,no,no,no,no,1
654,no,no,yes,no,0
655,no,no,no,no,1
656,no,no,no,no,1
657,no,no,no,no,1
658,no,no,no,no,1
659,no,no,no,no,1
660,no,no,no,no,1
661,no,no,no,no,1
662,no,no,no,no,1
663,no,no,no,no,1
664,no,no,no,no,1
665,no,no,no,no,1
666,no,no,no,no,1
667,no,no,no,no,1
668,no,no,no,no,1
669,no,no,no,no,1
670,no,no,no,no,1
671,no,no,no,no,1
672,no,no,no,no,1
673,no,no,no,no,1
674,no,no,no,no,1
675,no,no,no,no,1
676,no,no,no,no,1
677,no,no,no,no,1
678,no,no,no,no,1
679,no,no,no,no,1
680,no,no,no,no,1
681,no,no,no,no,1
682,no,no,no,no,1
683,no,no,no,no,1
684,no,no,no,no,1
685,no,no,no,no,1
686,no,no,no,no,1
687,no,no,no,no,1
688,no,no,no,no,1
689,no,no,no,no,1
690,no,no,no,no,1
691,no,no,no,no,1
692,no,no,no,no,1
693,no,no,no,no,1
694,no,no,no,no,1
695,no,no,no,no,1
696,no,no,no,no,1
697,no,no,no,no,1
698,no,no,no,no,1
699,no,no,no,no,1
700,no,no,no,no,1
