sample_index,goemotions_id,fine,ekman,sent,text_sha256,char_len
62,ee8n7ct,amusement,joy,positive,d89d173e8aa011d922a50819af1fcd31995c3bd8761dbdf98db402509c821c54,33
63,eebwv1e,neutral,neutral,neutral,b0b63f6602bf6cfcf28eb6f962f97b7085c2ad0fc7b852d8e4ac0b44e85302e2,42
64,eeq2xbc,gratitude,joy,positive,1f6bab37544891f5bfdcd8f34aea78c8a377d70cd29b3567f4cd89a63d9d67f5,22
65,ee85inb,optimism,joy,positive,4406924f5e8d98a82883d3ea1c9d4be0bead02763a694f619de6c4c21519a974,14
66,eeb8dkc,love,joy,positive,7e2fe69836250c48020a0cfebff60fb25473cf9e0f010ca620e8f39b929fbb0b,15
67,edoz6ot,approval,joy,positive,ea9bac490459ecdb2dcea71e6f9a0268c9d6f17470fd0f4e6879b2c4087c7774,50
68,eer7zky,caring,joy,positive,dd9580eed466ffab8533660d5f500b53233b00df29befe555e1724f5ef3ef71f,53
69,eetc1j1,neutral,neutral,neutral,c23cb650d8511fbae4692760027a6933d62574ac3c4543df0787d74e6be410c6,22
70,edmo454,curiosity,surprise,ambiguous,d4ee927092d8f6d74c4b7ae231b3dbc1a7f1a56b3b25840bf8586e1087639001,38
71,efag9qk,neutral,neutral,neutral,ac73ee40551ce83077851a4e5cea78c8e38b4f0f8fd3ed72c86a76d615eb24a9,107
72,edjcva3,embarrassment,sadness,negative,6331ceaba6987796b7241308631224b152739dd4603cef3bdc5440b1b582b6db,113
73,ed3598m,neutral,neutral,neutral,1547409813dbe85c0be6b0ee99d641be10923974ddb3993c94d084d6f0d50cf2,48
74,ed6hrx0,neutral,neutral,neutral,270d4d660fceb4b2f2fd3dbe7cf29f37065f1523166f9030f3c33bf1ef520741,103
75,eeamnxd,admiration,joy,positive,e2d2ccb55f018243879721de9422e24b591abdd3a6c83457a1cb5fac0d706564,98
76,eduzbw1,confusion,surprise,ambiguous,65f9b2e61770cf290390f0cc9c22a5f9c30494d7318b5abe69b650d925a45925,120
77,ed8bnk1,amusement,joy,positive,6b7de9a3f329fae9ee1d47a98c24984777b22dabe4d87fa60ceaf773ef3a86a5,58
78,ef8vyyh,neutral,neutral,neutral,c730330eb57df09bc7bb3408b08991d458ef1723eacded5ebb00ab15c9b1cd66,18
79,edd0t0r,annoyance,anger,negative,77a34fc727dca27ab1f22a7c3280bb068d7786c7836f12ada840d72b9a9703c1,68
80,ed5wo2w,neutral,neutral,neutral,63661b9336d94d36dd6eeaed1577676607bf008c8ab3ced7b85d267afa8214d1,17
81,ed936ao,annoyance,anger,negative,599649091245e622d5c16049f5273598e9fe6abbe74d37f15a17ce8e1f490bf3,36
82,eesh37s,disapproval,anger,negative,23af875e8b62dd4cb49e51961ad7cb6e899ef678e1fa74a7a7d35467ee919235,71
83,ednrzku,neutral,neutral,neutral,3f53f26984234303dd15d79904753397d580b5545f00a683d68279dc7f7ebb1c,84
84,edext4x,fear,fear,negative,f59ec1963da8eed55e531bf3ab507da8169f0a4310f3d1418db04445d34203be,26
85,eczc44a,excitement,joy,positive,9a5d92e3d5a01c2d1e66856e9a5c7f16432d4d02c9c40de198d86012e3674f21,47
86,ed57fbo,neutral,neutral,neutral,673a1a2b59ebfeb3f1b44b4df0edf1a4c768a78f10bc569b90402c8cd88a9ebb,23
87,eezkc62,neutral,neutral,neutral,afcd3d5ab28c129b41dfc52bcd08f5f41ab5fa058bcfd2c756df720a40f903ff,97
88,efbeqvc,neutral,neutral,neutral,30bfd97af19165125cbb18f8d0678f27add3d8083809a217104ab781c20328de,96
89,edvaz3h,realization,surprise,ambiguous,99ae30baa6333cbd7a0ea8aeb60fd747d3b3dc85352b127bce7d4213f454fadf,56
90,eeobtjx,neutral,neutral,neutral,e5b7f3c4c7e838b90f167c069ac9642a6a4b14c8a84bc7a74811855ce4b0c8ba,83
91,efah9rb,amusement,joy,positive,972a86a8246c4a4995278b8667d0c0c2b6b65c80fe18b128b4015fa2022bc335,69
92,ee6cvki,neutral,neutral,neutral,8ca91e85c20174670cf1bd2fbcb35d7532dc2ba95241787e4bf7076431e39e82,144
93,eeq4vci,curiosity,surprise,ambiguous,3b264f2c70523996f0cac3afe5eccd37475b94acedca0e0954e75249e8881139,91
94,ee2hrev,surprise,surprise,ambiguous,8a08631cd2ac11cf7071091c1faf9ef34348ca45935aafe497c4d277ea1a8e0e,16
95,eeas1ww,gratitude,joy,positive,dff9c19aeb9a6b9a213de2cb11ae6f984109c6f2d354e579632a7a8c05b142fd,110
96,ed184ql,joy,joy,positive,d15e979d5b7508933192596bc4ff7f73ff50593b37c4fdaf1e6ab867cf9ee5d8,124
97,ed6pkzv,anger,anger,negative,f0e9d6d8e54ccccd24886136639945401143486aa27f912229c4e57a1198c8ff,66
98,eeckgaz,realization,surprise,ambiguous,c04c37005a462f0488cb5dbee3b4f958abe21ccf497d4001a75b5dd59fd680bd,51
99,eesem2o,gratitude,joy,positive,5c645dc75a86a01b41673c24f1106c6ec1233ade8769e7c40506b4a05e13f023,75
100,edoxyzg,disapproval,anger,negative,7a6784f930a2c33a8eb88367705627578e715bf29fa997dc56c636b738c8fdc2,17
101,ed5bpyn,neutral,neutral,neutral,d8c63ed94464166267268c4627db98a4c84f6886e07ae70acf7dc29ddb67576b,23
102,ee5weni,amusement,joy,positive,46dc8fe614f74b81e142e3a72048de8c29531c0e5ea38b557a15c960399f1e7b,126
103,eesa65i,approval,joy,positive,bc19d88f55c5a88364295bef3e6c5d6d919ddf6ff6b64fbc60a6cbdcf1ba831c,47
104,ee1gdzz,neutral,neutral,neutral,32373ca047380f14e2206b24d3ec80d1a03e38c527b50b8922b5d5f7d547d18e,60
105,eeg8jrj,admiration,joy,positive,3318140319dbdfbdb4099fb24ca2142c376a18d2deb6aec75b215e591c4ec272,39
106,ee0r22m,gratitude,joy,positive,7f95a96bb3c9b79fc19c6c5c52ca4b4934aadf9cee5ddfeb2e4da6f28d5663b9,113
107,efgega0,admiration,joy,positive,42a5e91c15348f896a4b3786a5f948b83ece28137267026086e64d7d6aff5f6e,17
108,ed1h5g1,annoyance,anger,negative,f94de5565d81879d6b8d6fe173476e527991339ed1ab72ea53132577caa4cf71,144
109,eer1jkc,annoyance,anger,negative,9f05bf28677437037987dba8d25cbed1e73ce0c4590bf13811eea941be566c7c,94
110,edm3oea,neutral,neutral,neutral,dd84edbb56bee7261f2734b8be4e6b9f6cb8c9914a9c2af8bb7930eb6a66b83c,124
111,eenzmkg,neutral,neutral,neutral,098df4179b1cbce067c49e8af84d9a94eaa5c7638ba89bc50fd6c6ea9fc5af20,30
112,edbiw5b,admiration,joy,positive,80353fbe40b81ca0a466e2f554d0202f5b75d765abf55e8e9055bbf53c60352d,111
113,ee0ovgs,approval,joy,positive,27bb49ce238a71874d741bb60e60f2007184544888b67ebe6d18a5419a9d4e33,110
114,eemovlk,neutral,neutral,neutral,a204e23dee1456d6f4d1d83a26c133952d03bed3aab76e6c27420d1d041f3124,58
115,ee6ohr6,disgust,disgust,negative,10120a28098976d86413904195a95e6851605225738404594fcfc2ffc8cd76d3,14
116,eed0ric,disapproval,anger,negative,cb73851f56301bf6e483ed4c546b0cc8a3ba35ab4f423dfa26c92f58dcac92f2,52
117,eecg2ly,fear,fear,negative,5bee138fe7b77be17fe0ff27795f316561f9b9086451ca9e24ae060e67c18d85,71
118,ed2vc9p,neutral,neutral,neutral,48ee3c16dc8ec725df362f629936a6b9f6dd79da5acab4bec845679bc3b6499a,76
119,edma0sp,embarrassment,sadness,negative,3337159fe5cb84e1e37a1a71fcb962a418e4d56514b7d84ddd8ff2b1a02e0093,131
120,ee2t4ek,amusement,joy,positive,eeb645cb0def7b448000a01ccfeae9260398b91698eac9f60329134662964e25,87
121,eetxlxy,approval,joy,positive,96879378417d02bba458507bd4e893547ec5ff022d1ec268e45f8db25b3cece2,22
122,ef6bmgl,neutral,neutral,neutral,84c9140d7e8c2dc117349c564dc320db845bfcfff749125ed04ee349a3f02e32,39
123,edrh0yz,excitement,joy,positive,760cfbc00fe2e0fc3f28b6a5dd87c222963276a090b15a9967b938f6823fd882,91
124,ed52w0c,annoyance,anger,negative,d66c4db8be86f4c635b8726000749c64fcdc91d7c8fde87995a6b07d7ce94326,97
125,ef025pn,confusion,surprise,ambiguous,150c6fb33435a5bbbc7eeccefab443a10898d1c449505173b204b3a2ecb962b5,45
126,ef56z1s,neutral,neutral,neutral,fb67bb5bff204440841a69e0a6e193db04040bee30f32aea7bde48f9616ce98d,92
127,eekfk83,neutral,neutral,neutral,d52c5068fff55644b3ed7c2daf7686dad1d1ae795e635bfd70db5f6b43713e2c,90
128,ef4qit1,neutral,neutral,neutral,2d4788e3f1776dbbdffe678ed08bca07c29e535cb8395b004ad84258ca4d3f0c,64
129,eeh4hjb,love,joy,positive,16d93adc725ed771a1e138a1e37fb81b61d890b0873cd6630bbb9b759a9a9b26,44
130,edpemfy,desire,joy,positive,c31a5cc80b414c00e59c983cac08ba8cec2e74a88f7ecc4357306f63e8b1acb3,120
131,ed2qhvk,love,joy,positive,4950272ac4da8c800bf5624720f6b2c52eb4a98ac03a75b0f0b78ab28487ac17,71
132,eebxhxb,disappointment,sadness,negative,834ee40b38f4bec4634ca15b692eee11a50ec4ec0a96d5eb8bae4bcae0dd47f0,68
133,ed6pxs5,amusement,joy,positive,b3b53df4a180d96ce735d1e7ba87680fbb8a46b009f554531613049cbb42b0b4,33
134,ee8rrho,neutral,neutral,neutral,eea6254804769f1e12b8b167bd87a8953227ab6898f4b0f060198e21f755400d,130
135,eda9bvr,realization,surprise,ambiguous,52f71a1ebe606594d634143a69415d77bbfd36d8915e3034cafd0970f6e03a36,162
136,ee18t09,neutral,neutral,neutral,19d1846a04347ae34b872741929d4b96f2b9976e5ae5c999d0ad2d13318f44f7,84
137,edghgjb,neutral,neutral,neutral,06badeb6b8e733e9303f5eaadbb990bdcf390d3bca2d6965fba725f1473d6f1b,61
138,ed21rmg,curiosity,surprise,ambiguous,c8e39affb826c5f902ac9786e5e2d6d16df84e26d3c9229f2a96b20e3a1a29fe,31
139,ee7zrpo,love,joy,positive,1c6d957710970b7f25b119201291d7ef83755e79b2be18a516dc346e9e81b62a,95
140,edlgwyi,neutral,neutral,neutral,1fa4ab6843b963931dd1b53e579880342703c01b03fba422e61dfb7c46bdfc03,39
141,ed60knl,admiration,joy,positive,968c8da1d161599c98baf8fb20e9bc8c8fb245a09a13ad584770a76f617d9840,25
142,ee72v7p,disgust,disgust,negative,e39f4f7ea49b651d9e329fa6f4dfe27642e2b2e60fb40dcb25190e1682400022,28
143,eepu3bf,neutral,neutral,neutral,9c1c1a1a9a0766f1da081a765bf1f144d4166b2d39cd9a0013a2cfb5569a5f00,69
144,efals5d,neutral,neutral,neutral,b006442e7cd9ef128760f3acfdaeb7c03510d51367745ac83f5bfb4a8b596731,45
145,ee0psc2,neutral,neutral,neutral,e0d8e2200632c3ce99025718bbe408515209cabdca7b830c3899ff7e4e10cfb6,32
146,eeemx8b,love,joy,positive,03dfced700ad53247a00056a2c656c931342cb7c346b5d718ffe116865c6b02d,27
147,eewm10f,neutral,neutral,neutral,1fc258b9e5e83e7d35737da33fff836ac63a301d0c91655fcebf0ec1ce61eca2,119
148,eevvus4,admiration,joy,positive,d9a2c3ce9724c6a4ae350dc3a645b44737457547cab47ef890bacd940c34489f,60
149,edb2nwr,realization,surprise,ambiguous,543cf2428b44fb46f9e2fafd6b6af4e8564af5e615cd86346e2ad7b0952b778e,142
150,eettn7f,sadness,sadness,negative,eac05d0e4603504a925d65d5348a57fade444a25459a3d11e175a86f0e7fccf6,56
151,edt1jzo,embarrassment,sadness,negative,b9358897585c9b23d937bd1e46e51f8eee47b97050aa8acba44314afdf0762e0,30
152,edo5ajh,neutral,neutral,neutral,47613e977215867cd9def2901cfebc127ce826179750ca4af5d906de7d9bf965,39
153,ee5narr,neutral,neutral,neutral,e8b02d309380532e515262b2cfca481d01ffadc613e091766cb1fa24c9308cd6,19
154,edarftv,disapproval,anger,negative,988b58985588c951fd5de46725df8daf5fc32c3b9223a7a5338f55106e17b83c,47
155,ee5j9wk,gratitude,joy,positive,7e83dd222cf08f8e8550dc83c57019299a64d438521dfe39fd035c9678830d70,19
156,ee8x4ik,admiration,joy,positive,6c361311f25fc5f6c41e93adfa77b25cea8aac0cdeefcd3306e3d0da838ac771,84
157,edjiuwg,neutral,neutral,neutral,1311a84a6cca2a472b40bb9117d6bb9ad8e5142fe9dc74bf23895360f2d427bc,112
158,ed9qsmb,approval,joy,positive,62dbb8cfe5bf6281251d4440aedf71d6b7707c7c7b1a09ee6a7a90d438622b8d,75
159,efgetp6,neutral,neutral,neutral,6c5a7f84a22df983b01e2cf08e7e3b24535ac4036433129a95d95a027e85b6ef,129
160,edxgh62,sadness,sadness,negative,69998ef72b4fc90b64f589164be4c21cd1e0d4562f0ae60aeae95b5ae4f014c9,71
161,eewpl8e,love,joy,positive,d5a17a9b7dbfd5377be7c2fc5aaeaba72c639d7448bba6e0f980c8bcb7afb184,77
162,ef48bz1,amusement,joy,positive,6708b9f858f2f1abae301503f758ed3334e12b3e14202f3935367181d9f200dd,27
163,eew47wk,disapproval,anger,negative,688a6425cdee8500c838db57c211b33d2c5af6299ad3ca6490bf2e8c72c4c500,69
164,eeteba1,admiration,joy,positive,555cc34d9d0184c711f31e6b3ea4e9d0a63ac5c0dcf5bd295a0036a9c5ca4048,57
165,eesj4xr,neutral,neutral,neutral,2f12ddb38575fbcd39b41b76760272f7fcdf244032946094109bfd93a102c567,40
166,efh3kzm,admiration,joy,positive,23002f61a7d2b60e61ad56234e6f9b3a6f98546fa4500614c6b5f6cb0e35ff41,24
167,eehltq0,neutral,neutral,neutral,560a64746b9b390730c22a1e0d335dbba77119434075fb113c5b1275f1a5b40e,16
168,eeqlsj0,neutral,neutral,neutral,b534c0880492712896eccd7620461a032c68dab381767b185a153d253a1ee06e,131
169,ed0it1e,amusement,joy,positive,696b09f41a362703bf550405fcc157f5c8e08f1e934c69435abd0112a6f3e483,18
170,ef2264s,neutral,neutral,neutral,d96aef983997622cddd41bfbe77105c67b0e1e6b9acbb6ee0f13781100a5824d,64
171,efgto6z,neutral,neutral,neutral,2c871f0356bd88b7496c7da51a79aed44c951810fd5c886172484f0acb3a2acb,113
172,eeeb7ar,realization,surprise,ambiguous,74337b2ecb1bda66bd80d67f6542b3cb925ca0d7cfe994729bd265ab5f4f24fc,63
173,edyp9kw,admiration,joy,positive,329093f825ba35323c9b66bc2cfb243ed27d14501dd6121a9b5b64a603db5a13,23
174,eeqmrl2,neutral,neutral,neutral,adcc396d1396c47d40305abd8594cc0aafa7c17cba1d63c8fa078bef2c427f42,58
175,edo0ozh,desire,joy,positive,9d04a40f569d36da49526a8c353d68cdc24a4f025f1502cd109fa504095a6a4c,52
176,effba5v,neutral,neutral,neutral,5e9c3b8d08fe518116e71ad8a0de0a57242a6edcee72b66257d9cad73926d2a7,40
177,ee52emp,approval,joy,positive,cbdf52e26df47abb57bebcde2ccffc24487e1fa25fde614bbffee6bc082a4383,98
178,eetd9cu,disapproval,anger,negative,525d8ff0bf418130da56958edf5e7bdaaa76e53455032427100cfbc43497e3e9,83
179,ef856f5,disgust,disgust,negative,3c82b4e82257b22a6f51287ecf2ccbe2a42f51fc57ee5375c478a160d0f11789,99
180,eer3ivh,annoyance,anger,negative,9adf4841600e2d7b6334acbc3cfc830d3e3a3f0f08b8ac19975cd2ba7d47af61,20
181,edry576,neutral,neutral,neutral,ef98cdcce677cdd08cfb7b8ff81b28bb32b45ca7c31d61a0e2f8cae563996e07,45
182,edhzgg4,joy,joy,positive,8eb2eb412564cc84c3f54f5d38172e0410cb5b5ec7cc67bd706ba9a9ad4a5f7e,155
183,eed43l9,neutral,neutral,neutral,96fe55b891bb058c0372f446a715f0178b280970219e1a2a8b4da4c64b0c2850,117
184,eel7yir,love,joy,positive,63eb111fdd17f2611ba43e8b22a3b97d17fa0671f62532bbe38ea1aa7245ddcf,45
185,eeyvlxh,neutral,neutral,neutral,1d7fb5cb396cdc81484a0b6f2ea4cfb72fe6aed1bd77cf3eeef27bea3078af88,35
186,ef67xn0,fear,fear,negative,82d8b719cc3f9b6b57ebb7e67a795abaaa81c00d95fbd9b51b806fae197cdb69,31
187,ee0t7sw,love,joy,positive,36c8c520de3ced04fa1c37e094e132d98aaf2d37e9bc22e67509ba7774c0916b,26
188,edted0j,neutral,neutral,neutral,2454f5754b122568163ae0bd776af47c34064066b0bb8a85ea89694c0239bec2,100
189,eepqi96,neutral,neutral,neutral,d8f58b3c7674f74de116a5e4ae1a9e98bbe7677214e1e059b538cd1949eca547,104
190,ee2zm4w,remorse,sadness,negative,05f148763cfba24df3008b5c5658eb66b462f62a769855639057e2bce65cc88e,37
191,ed4vtot,disgust,disgust,negative,87ede814f42f0f162ba5eee01f78c98a8d7900523298b2d0f5b6ed846fe47705,52
192,efakift,relief,joy,positive,12fde7a58fa534f5009e87e1bf102651341dbe2c38b9117965b74fe58275728e,89
193,ef8teke,neutral,neutral,neutral,0daf511899eda614b59f5267ae6c64aa1b44b6511a75f4ddc532d7f409f396c5,10
194,eeng6wv,approval,joy,positive,093ab28d3a13ec6436a6701fa1ce44b87cb3702b60646e106ece0a8259aa61b7,36
195,eem52g7,annoyance,anger,negative,800d7fb52c983145cf018e837a4a1b2f6a208e27b03740400ca122e30fe2428a,94
196,edi37q6,curiosity,surprise,ambiguous,624b4ff2ca4945b3363baf0c7464ffa38c787764966137a22b4e8c3d6f8b5a14,72
197,edb7ayh,admiration,joy,positive,f6e35b05a2bf5d2a52ad5bddc55c9827ad17ec310004bbb1c1cacdcd05b8fa49,12
198,eezocyj,neutral,neutral,neutral,e76d9bf34c094e1b3386177637bfa543d28eda355e9e0ea41b3a5373696916ee,10
199,edhvqgi,annoyance,anger,negative,89898bd3e1c6eef7e2a3cd7145ecdc85effefa91b015e4c259db746697a8c609,100
200,ee2hhgz,remorse,sadness,negative,20cf62876c5c936fde316d817bdffbd7fdd001069fe44c9cc100bfd6d3cd03f9,72
201,edlf8fc,curiosity,surprise,ambiguous,f5f51142e449e4927bcd7b974760e0ae3443ca76ba625926542371bf961c2fc5,118
202,eeeybsp,love,joy,positive,6d22f4140e76b5d4575089f43a322b52260b09846cbf8476a61168c0eff9b537,77
203,ee5aehd,neutral,neutral,neutral,48e3d8970553cfe37896bc2ac2a0731a548c354c1c8d4caaf3347290a0cc4b16,83
204,eemmnhm,disappointment,sadness,negative,e0aaa96d197ebdec9d68a0d897958b9439655f262ebfc3f713e0dda4e55c64dc,76
205,edy5dg0,joy,joy,positive,fb0e21ba88b49d616930602bfd7d76678459719f90860ca1b40aace7922553d5,110
206,eeub2eq,neutral,neutral,neutral,af65bb1367a8311f3ddf6cb2f9535f29b82b273eef156246e2843a057d388810,34
207,ed6kkav,admiration,joy,positive,a81ffee70aafe9877e8d836306ce534123e05a93270cc76cad20cc4dcd0e7976,46
208,effzsws,disgust,disgust,negative,eced48e4c706385b830c06a77b1c30cf10796ea1544b7c1d8158f22a56008c3d,58
209,ed65k7z,admiration,joy,positive,99e1fda9bae3483466a988906b3f787a4c88688efe6b8561666886a4ad30495e,62
210,efdygcn,admiration,joy,positive,4138474e669cf404b53b0ebd31958927dc9443cde72da215222540327d246dd2,69
211,efeymfg,fear,fear,negative,56e668632ee78295732b8e8ee65639299c4e10199aeef0b1ca6faccdc71d4bcb,105
212,ef0vhlz,neutral,neutral,neutral,f9a760fa7247b6727eca23575c74f4fec5401956d30b03107c97536d44e26507,7
213,ef131xp,neutral,neutral,neutral,1fe2cb722d809838c6eb2193639d6f579e1817674fe9ce1bee1df84283b5429e,65
214,edg2u44,disapproval,anger,negative,45ae719053d5ea48fdff9f3d05eef8f351b16deaad8a4e5395b69144ec1e547d,127
