id,verdict,sentential,normative,referential,process,data,human,atomicity,completeness,self_sufficiency,atomicity_aggregate
49,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
50,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
51,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
52,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
53,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
54,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
55,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
56,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
57,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
58,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
59,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
60,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
61,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
62,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
63,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
64,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
65,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
66,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
67,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
68,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
69,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
70,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
71,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
72,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
73,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
74,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
75,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
76,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
77,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
78,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
79,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
80,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
81,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
82,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
83,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
84,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
85,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
86,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
87,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
88,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
89,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
90,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
91,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
92,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
93,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
94,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
95,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
96,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
97,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
98,No,Incomplete,Y,Incomplete,Dependent,Independent,Dependent,,Incomplete,No,
99,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
100,No,Incomplete,Y,Complete,Dependent,Independent,Independent,,Incomplete,No,
101,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
102,No,Incomplete,Y,Incomplete,Independent,Independent,Dependent,,Incomplete,No,
103,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
104,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
105,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
106,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
107,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
108,No,Complete,Y,Incomplete,Independent,Independent,Dependent,,Incomplete,No,
109,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
110,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
111,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
112,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
113,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
114,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
115,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
116,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
117,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
118,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
119,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
120,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
121,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
122,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
123,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
124,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
125,No,Incomplete,Y,Complete,Independent,Independent,Independent,,Incomplete,Yes,
126,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
127,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
128,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
129,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
130,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
131,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
132,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
133,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
134,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
135,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
136,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
137,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
138,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
139,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
140,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
141,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
142,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
143,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
144,No,Complete,N,Complete,Independent,Independent,Dependent,,Incomplete,No,
145,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
146,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
147,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
148,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
149,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
150,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
151,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
152,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
153,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
154,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
155,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
156,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
157,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
158,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
159,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
160,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
161,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
162,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
163,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
164,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
165,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
166,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
167,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
168,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
169,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
170,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
171,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
172,No,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
173,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
174,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
175,No,Complete,P,Complete,Independent,Independent,Dependent,,Incomplete,No,
176,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
177,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
178,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
179,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
180,No,Incomplete,Y,Complete,Independent,Independent,Independent,,Incomplete,Yes,
181,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
182,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
183,No,Complete,P,Complete,Independent,Independent,Dependent,,Incomplete,No,
184,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
185,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
186,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
187,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
188,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
189,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
190,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
191,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
192,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
193,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
194,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
195,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
196,No,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,Yes,
197,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
198,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
199,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
200,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
201,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
202,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
203,No,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,No,
204,No,Complete,P,Complete,Independent,Independent,Dependent,,Incomplete,No,
205,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
206,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
207,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
208,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
209,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
210,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
211,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
212,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
213,No,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,No,
214,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
215,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
216,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
217,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
218,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
219,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
220,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
221,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
222,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
223,No,Complete,Y,Incomplete,Dependent,Independent,Independent,,Incomplete,No,
224,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
225,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
226,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
227,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
228,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
229,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
230,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
231,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
232,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
233,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
234,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
235,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
236,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
237,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
238,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
239,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
240,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
241,No,Complete,P,Complete,Independent,Independent,Dependent,,Incomplete,No,
242,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
243,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
244,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
245,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
246,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
247,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
248,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
249,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
250,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
251,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
252,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
253,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
254,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
255,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
256,No,Complete,N,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,
257,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
258,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
259,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
260,No,Complete,N,Complete,Dependent,Dependent,Independent,,Incomplete,No,
261,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
262,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
263,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
264,No,Complete,N,Complete,Dependent,Dependent,Independent,,Incomplete,No,
265,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
266,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
267,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
268,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
269,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
270,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
271,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
272,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
273,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
274,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
275,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
276,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
277,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
278,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
279,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
280,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
281,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
282,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
283,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
284,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
285,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
286,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
287,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
288,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
289,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
290,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
291,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
292,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
293,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
294,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
295,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
296,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
297,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
298,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
299,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
300,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
301,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
302,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
303,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
304,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
305,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
306,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
307,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
308,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
309,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
310,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
311,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
312,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
313,No,Complete,Y,Complete,Independent,Dependent,Independent,,Complete,No,
314,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
315,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
316,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
317,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
318,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
319,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
320,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
321,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
322,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
323,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
324,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
325,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
326,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
