sample_index,fine_A,fine_B,fine_M,ekman_A,ekman_B,sent_A,sent_B,combined_fine,combined_ekman,combined_sent
37,approval,approval,,neutral,neutral,positive,positive,approval,joy,positive
38,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
39,neutral,joy,joy,joy,joy,positive,positive,joy,joy,positive
40,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
41,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
42,neutral,neutral,,neutral,neutral,positive,positive,neutral,neutral,neutral
43,amusement,amusement,,joy,joy,neutral,ambiguous,amusement,joy,positive
44,disappointment,disappointment,,sadness,sadness,negative,negative,disappointment,sadness,negative
45,disgust,disgust,,disgust,disgust,negative,negative,disgust,disgust,negative
46,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
47,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
48,confusion,confusion,,surprise,surprise,ambiguous,ambiguous,confusion,surprise,ambiguous
49,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
50,disapproval,amusement,amusement,neutral,neutral,negative,negative,amusement,joy,positive
51,neutral,approval,approval,neutral,neutral,positive,neutral,neutral,neutral,neutral
52,curiosity,amusement,amusement,neutral,neutral,negative,negative,neutral,neutral,neutral
53,curiosity,curiosity,,neutral,neutral,ambiguous,ambiguous,curiosity,surprise,ambiguous
54,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
55,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
56,neutral,amusement,amusement,neutral,neutral,neutral,negative,neutral,neutral,neutral
57,disappointment,disappointment,,sadness,sadness,negative,negative,disappointment,sadness,negative
58,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
59,confusion,confusion,,joy,neutral,positive,ambiguous,admiration,joy,positive
60,caring,caring,,joy,joy,positive,positive,optimism,joy,positive
61,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
62,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
63,neutral,pride,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
64,neutral,caring,caring,joy,joy,positive,positive,neutral,neutral,neutral
65,optimism,optimism,,joy,joy,positive,positive,optimism,joy,positive
66,approval,approval,,joy,joy,positive,positive,approval,joy,positive
67,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
68,caring,caring,,joy,joy,positive,positive,caring,joy,positive
69,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
70,confusion,confusion,,surprise,surprise,ambiguous,ambiguous,confusion,surprise,ambiguous
71,disapproval,disapproval,,neutral,neutral,negative,neutral,neutral,neutral,neutral
72,disappointment,disappointment,,sadness,sadness,negative,negative,disappointment,sadness,negative
73,neutral,caring,caring,neutral,neutral,neutral,neutral,neutral,neutral,neutral
74,amusement,amusement,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
75,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
76,confusion,surprise,surprise,surprise,surprise,ambiguous,ambiguous,surprise,surprise,ambiguous
77,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
78,anger,annoyance,anger,anger,anger,negative,negative,annoyance,anger,negative
79,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
80,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
81,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
82,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
83,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
84,fear,fear,,fear,fear,negative,negative,fear,fear,negative
85,optimism,optimism,,joy,joy,positive,positive,optimism,joy,positive
86,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
87,annoyance,annoyance,,anger,anger,ambiguous,negative,annoyance,anger,negative
88,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
89,neutral,neutral,,surprise,joy,positive,positive,surprise,surprise,ambiguous
90,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
91,amusement,amusement,,joy,joy,neutral,neutral,amusement,joy,positive
92,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
93,curiosity,curiosity,,joy,joy,positive,ambiguous,curiosity,surprise,ambiguous
94,curiosity,curiosity,,surprise,surprise,ambiguous,ambiguous,curiosity,surprise,ambiguous
95,gratitude,gratitude,,neutral,neutral,neutral,neutral,gratitude,joy,positive
96,joy,joy,,joy,joy,positive,positive,joy,joy,positive
97,disapproval,disapproval,,anger,disgust,negative,negative,disapproval,anger,negative
98,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
99,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
100,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
101,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
102,optimism,optimism,,joy,joy,positive,positive,optimism,joy,positive
103,approval,approval,,joy,joy,positive,positive,approval,joy,positive
104,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
105,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
106,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
107,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
108,amusement,amusement,,neutral,joy,negative,ambiguous,amusement,joy,positive
109,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
110,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
111,optimism,optimism,,neutral,neutral,positive,positive,optimism,joy,positive
112,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
113,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
114,curiosity,curiosity,,neutral,neutral,ambiguous,ambiguous,curiosity,surprise,ambiguous
115,amusement,amusement,,joy,joy,positive,ambiguous,amusement,joy,positive
116,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
117,sadness,caring,caring,sadness,sadness,negative,negative,sadness,sadness,negative
118,neutral,amusement,amusement,neutral,neutral,negative,neutral,neutral,neutral,neutral
119,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
120,amusement,surprise,amusement,surprise,surprise,ambiguous,ambiguous,amusement,joy,positive
121,annoyance,amusement,amusement,neutral,neutral,neutral,neutral,amusement,joy,positive
122,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
123,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
124,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
125,approval,approval,,joy,joy,positive,positive,approval,joy,positive
126,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
127,disgust,disgust,,disgust,disgust,negative,negative,disgust,disgust,negative
128,neutral,amusement,amusement,neutral,neutral,neutral,negative,neutral,neutral,neutral
129,love,love,,joy,joy,positive,positive,love,joy,positive
130,desire,desire,,sadness,sadness,negative,negative,desire,joy,positive
131,disapproval,disapproval,,neutral,anger,negative,negative,disapproval,anger,negative
132,fear,disgust,disgust,disgust,fear,negative,negative,disgust,disgust,negative
133,amusement,amusement,,joy,joy,neutral,positive,amusement,joy,positive
134,amusement,amusement,,neutral,neutral,neutral,neutral,amusement,joy,positive
135,neutral,neutral,,neutral,anger,neutral,neutral,neutral,neutral,neutral
136,disapproval,disapproval,,neutral,anger,negative,negative,disapproval,anger,negative
137,disapproval,amusement,disapproval,neutral,neutral,negative,negative,disapproval,anger,negative
138,curiosity,curiosity,,neutral,surprise,ambiguous,ambiguous,curiosity,surprise,ambiguous
139,desire,desire,,joy,joy,positive,positive,desire,joy,positive
140,disapproval,disapproval,,anger,disgust,negative,negative,disapproval,anger,negative
141,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
142,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
143,confusion,confusion,,neutral,surprise,ambiguous,ambiguous,confusion,surprise,ambiguous
144,optimism,optimism,,joy,joy,positive,positive,optimism,joy,positive
145,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
146,love,love,,joy,joy,positive,positive,love,joy,positive
147,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
148,disapproval,amusement,amusement,neutral,joy,negative,negative,amusement,joy,positive
149,embarrassment,embarrassment,,sadness,sadness,negative,negative,embarrassment,sadness,negative
150,sadness,sadness,,sadness,sadness,negative,negative,sadness,sadness,negative
151,embarrassment,embarrassment,,sadness,sadness,negative,negative,embarrassment,sadness,negative
152,neutral,disapproval,disapproval,neutral,anger,negative,neutral,annoyance,anger,negative
153,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
154,approval,approval,,neutral,neutral,positive,positive,approval,joy,positive
155,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
156,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
157,disgust,disgust,,disgust,disgust,negative,negative,disgust,disgust,negative
158,approval,approval,,neutral,neutral,neutral,neutral,approval,joy,positive
159,caring,caring,,joy,joy,positive,positive,caring,joy,positive
160,sadness,sadness,,sadness,sadness,negative,negative,sadness,sadness,negative
161,love,love,,joy,joy,positive,positive,love,joy,positive
162,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
163,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
164,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
165,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
166,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
167,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
168,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
169,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
170,approval,approval,,neutral,joy,positive,positive,neutral,neutral,neutral
171,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
172,neutral,neutral,,neutral,neutral,negative,neutral,neutral,neutral,neutral
173,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
174,neutral,amusement,amusement,neutral,neutral,ambiguous,neutral,neutral,neutral,neutral
175,curiosity,curiosity,,joy,joy,ambiguous,ambiguous,curiosity,surprise,ambiguous
176,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
177,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
178,annoyance,disapproval,annoyance,anger,anger,negative,negative,disapproval,anger,negative
179,neutral,annoyance,annoyance,neutral,neutral,negative,negative,annoyance,anger,negative
180,anger,anger,,anger,anger,negative,negative,anger,anger,negative
181,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
182,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
183,approval,approval,,joy,joy,positive,positive,approval,joy,positive
184,love,love,,joy,joy,positive,positive,love,joy,positive
185,excitement,excitement,,neutral,joy,positive,positive,neutral,neutral,neutral
186,fear,fear,,fear,fear,negative,negative,fear,fear,negative
187,love,love,,joy,joy,positive,positive,love,joy,positive
188,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
189,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
190,sadness,sadness,,sadness,sadness,negative,negative,sadness,sadness,negative
191,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
192,relief,relief,,joy,joy,positive,positive,relief,joy,positive
193,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
194,optimism,caring,optimism,joy,joy,positive,positive,optimism,joy,positive
195,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
196,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
197,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
198,approval,approval,,neutral,neutral,positive,positive,approval,joy,positive
199,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
200,annoyance,disapproval,disapproval,anger,anger,negative,negative,disapproval,anger,negative
201,curiosity,realization,realization,neutral,neutral,ambiguous,ambiguous,curiosity,surprise,ambiguous
202,desire,desire,,joy,joy,positive,positive,desire,joy,positive
203,amusement,amusement,,neutral,joy,neutral,positive,amusement,joy,positive
204,annoyance,annoyance,,neutral,anger,negative,negative,annoyance,anger,negative
205,joy,joy,,joy,joy,positive,positive,joy,joy,positive
206,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
207,admiration,admiration,,neutral,neutral,positive,positive,admiration,joy,positive
208,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
209,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
210,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
211,fear,fear,,fear,fear,negative,negative,fear,fear,negative
212,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
213,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
214,confusion,amusement,amusement,surprise,joy,ambiguous,ambiguous,confusion,surprise,ambiguous
215,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
216,amusement,amusement,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
217,caring,caring,,neutral,neutral,neutral,positive,caring,joy,positive
218,approval,approval,,joy,joy,positive,positive,approval,joy,positive
219,disapproval,disapproval,,neutral,anger,negative,negative,neutral,neutral,neutral
220,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
221,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
222,disgust,disgust,,disgust,disgust,negative,negative,disgust,disgust,negative
223,approval,approval,,neutral,neutral,positive,positive,approval,joy,positive
224,disappointment,disappointment,,anger,anger,negative,negative,disappointment,sadness,negative
225,surprise,surprise,,surprise,surprise,positive,positive,surprise,surprise,ambiguous
226,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
227,optimism,optimism,,joy,joy,positive,positive,optimism,joy,positive
228,neutral,approval,approval,neutral,neutral,neutral,neutral,neutral,neutral,neutral
229,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
230,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
231,joy,caring,caring,joy,joy,positive,positive,caring,joy,positive
232,curiosity,confusion,curiosity,neutral,neutral,ambiguous,ambiguous,curiosity,surprise,ambiguous
233,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
234,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
235,curiosity,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
236,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
237,disgust,disgust,,disgust,disgust,negative,negative,disgust,disgust,negative
238,disapproval,anger,anger,anger,anger,negative,negative,anger,anger,negative
239,neutral,caring,caring,neutral,neutral,neutral,neutral,caring,joy,positive
240,disapproval,disapproval,,neutral,neutral,negative,negative,disapproval,anger,negative
241,admiration,admiration,,joy,joy,positive,ambiguous,admiration,joy,positive
242,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
243,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
244,disapproval,disapproval,,neutral,neutral,negative,negative,disapproval,anger,negative
245,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
246,approval,approval,,joy,joy,positive,positive,approval,joy,positive
247,neutral,disapproval,disapproval,neutral,neutral,neutral,neutral,disapproval,anger,negative
248,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
249,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
250,neutral,neutral,,neutral,neutral,negative,negative,neutral,neutral,neutral
251,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
252,realization,realization,,neutral,neutral,neutral,neutral,approval,joy,positive
253,approval,approval,,neutral,joy,positive,positive,approval,joy,positive
254,curiosity,disapproval,disapproval,neutral,anger,ambiguous,ambiguous,curiosity,surprise,ambiguous
255,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
256,disapproval,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
257,curiosity,curiosity,,neutral,neutral,ambiguous,ambiguous,curiosity,surprise,ambiguous
258,admiration,disapproval,disapproval,neutral,anger,negative,negative,disapproval,anger,negative
259,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
260,amusement,amusement,,joy,joy,negative,negative,amusement,joy,positive
261,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
262,optimism,optimism,,neutral,neutral,negative,ambiguous,optimism,joy,positive
263,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
264,admiration,admiration,,joy,joy,positive,positive,admiration,joy,positive
265,fear,amusement,amusement,fear,neutral,neutral,neutral,fear,fear,negative
266,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
267,fear,desire,fear,fear,fear,negative,ambiguous,desire,joy,positive
268,optimism,caring,optimism,joy,joy,positive,positive,optimism,joy,positive
269,disapproval,disapproval,,neutral,anger,negative,negative,disapproval,anger,negative
270,disapproval,disapproval,,anger,disgust,negative,negative,disapproval,anger,negative
271,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
272,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
273,nervousness,nervousness,,fear,fear,negative,negative,nervousness,fear,negative
274,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
275,neutral,amusement,amusement,neutral,neutral,negative,negative,neutral,neutral,neutral
276,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
277,approval,approval,,joy,neutral,positive,positive,approval,joy,positive
278,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
279,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
280,annoyance,annoyance,,neutral,anger,neutral,negative,annoyance,anger,negative
281,approval,excitement,excitement,joy,joy,positive,positive,approval,joy,positive
282,surprise,surprise,,surprise,surprise,ambiguous,ambiguous,surprise,surprise,ambiguous
283,amusement,amusement,,neutral,joy,positive,positive,amusement,joy,positive
284,fear,fear,,fear,fear,negative,negative,fear,fear,negative
285,disapproval,embarrassment,disgust,disgust,disgust,negative,negative,disapproval,anger,negative
286,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
287,annoyance,annoyance,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
288,surprise,surprise,,surprise,surprise,ambiguous,ambiguous,surprise,surprise,ambiguous
289,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
290,optimism,optimism,,joy,joy,positive,positive,optimism,joy,positive
291,approval,approval,,neutral,neutral,neutral,neutral,approval,joy,positive
292,amusement,amusement,,neutral,joy,neutral,neutral,amusement,joy,positive
293,caring,caring,,neutral,neutral,neutral,neutral,caring,joy,positive
294,excitement,excitement,,joy,joy,positive,positive,excitement,joy,positive
295,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
296,joy,joy,,joy,joy,positive,positive,joy,joy,positive
297,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
298,approval,approval,,joy,joy,positive,positive,approval,joy,positive
299,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
300,neutral,amusement,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral
