id,escalated_property,escalated_holistic,A_Sentential,A_Normative,A_Referential,A_Process,A_Data,A_Human,A_Atomicity,B_Sentential,B_Normative,B_Referential,B_Process,B_Data,B_Human,B_Atomicity,M_Sentential,M_Normative,M_Referential,M_Process,M_Data,M_Human,M_Atomicity,A3_Completeness,A3_SelfSufficiency,A3_Atomicity3,M3_Completeness,M3_SelfSufficiency,M3_Atomicity3,Ah_Verdict,Mh_Verdict,A1_verdict,A2_verdict,A3_verdict,A4_verdict,A3_check_failed,A3_check_failures,A4_check_failed,A4_check_failures
11,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
12,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
13,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
14,1,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Dependent,Compound,Complete,Y,Complete,Independent,Independent,Dependent,Compound,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,completeness_mismatch;selfsuff_mismatch,1,completeness_mismatch;LT4_gate
15,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
16,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Dependent,Atomic,Complete,Y,Complete,Independent,Independent,Dependent,Atomic,Incomplete,No,,Incomplete,No,,No,No,Yes,No,Yes,No,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,completeness_mismatch;LT4_gate
17,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
18,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
19,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
20,1,0,Complete,N,Incomplete,Dependent,Dependent,Dependent,,Complete,N,Incomplete,Independent,Dependent,Dependent,,Complete,N,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
21,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
22,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
23,1,1,Complete,Compound,Complete,Independent,Independent,Independent,,Complete,Y,Complete,Independent,Independent,Dependent,Compound,Complete,Y,Complete,Independent,Independent,Dependent,Compound,Complete,No,,Complete,No,,Yes,No,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch,1,LT4_gate
24,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Compound,Complete,Independent,Independent,Dependent,Compound,Complete,Compound,Complete,Independent,Independent,Dependent,Compound,Complete,No,,Complete,No,,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three;LT4_gate
25,0,0,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,selfsuff_mismatch,1,selfsuff_mismatch
26,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Incomplete,No,,Incomplete,No,,No,No,Yes,Yes,Yes,Yes,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch
27,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,1,completeness_mismatch
28,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,1,completeness_mismatch
29,0,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,No,Atomic,Complete,No,Atomic,No,No,No,No,No,No,1,LT4_gate,1,LT4_gate
30,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Dependent,Independent,Atomic,Complete,Y,Complete,Independent,Dependent,Independent,Atomic,Complete,No,Atomic,Complete,No,Atomic,No,No,Yes,No,Yes,No,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch,1,LT4_gate
31,0,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,No,Atomic,Complete,No,Atomic,No,No,No,No,No,No,1,LT4_gate,1,LT4_gate
32,1,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Independent,Independent,,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three;completeness_mismatch
33,1,0,Complete,N,Complete,Independent,Independent,Independent,,Complete,N,Incomplete,Independent,Dependent,Independent,,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,selfsuff_mismatch,1,selfsuff_mismatch
34,1,1,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,No,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_seven;holistic_vs_three,0,
35,1,1,Complete,Y,Incomplete,Independent,Independent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Independent,Dependent,,Complete,No,Atomic,Complete,Yes,Atomic,No,Yes,No,No,No,No,1,completeness_mismatch;LT4_gate,1,holistic_vs_seven;three_vs_seven;completeness_mismatch;selfsuff_mismatch
36,1,1,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Compound,No,Yes,No,No,No,No,0,,1,holistic_vs_seven;holistic_vs_three;completeness_mismatch;selfsuff_mismatch;LT4_gate
37,0,0,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,N,Incomplete,Independent,Independent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,1,selfsuff_mismatch,1,selfsuff_mismatch
38,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
39,1,1,Complete,Compound,Incomplete,Independent,Dependent,Dependent,,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,Compound,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,Compound,Incomplete,No,,Incomplete,No,,Yes,No,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,LT4_gate
40,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
41,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
42,0,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
43,1,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
44,1,1,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Yes,Compound,Complete,Yes,Compound,Yes,No,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;completeness_mismatch;selfsuff_mismatch,1,completeness_mismatch;selfsuff_mismatch
45,1,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
46,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
47,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
48,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
49,0,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,No,,Complete,No,,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;LT4_gate,1,holistic_vs_seven;holistic_vs_three;LT4_gate
50,0,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,No,,Complete,No,,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;LT4_gate,1,holistic_vs_seven;holistic_vs_three;LT4_gate
51,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
52,1,0,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,0,
53,0,0,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,No,,Complete,No,,No,No,No,No,No,No,1,LT4_gate,1,LT4_gate
54,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
55,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
56,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
57,1,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three;completeness_mismatch;selfsuff_mismatch
58,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
59,1,0,Complete,Y,Complete,Dependent,Independent,Independent,Compound,Complete,Compound,Complete,Dependent,Dependent,Independent,,Complete,Compound,Complete,Dependent,Independent,Independent,,Complete,No,,Complete,No,,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;LT4_gate,1,holistic_vs_seven;holistic_vs_three
60,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
61,0,0,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Complete,Y,Incomplete,Independent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
62,0,1,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,Y,Complete,Dependent,Independent,Independent,Atomic,Complete,No,,Complete,No,,Yes,No,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;LT4_gate,1,LT4_gate
63,1,1,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,Y,Complete,Independent,Dependent,Dependent,,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,No,No,No,No,No,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch
64,1,0,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,No,,Complete,No,,No,No,No,No,No,No,0,,1,completeness_mismatch
65,1,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Complete,Y,Incomplete,Dependent,Dependent,Independent,,Incomplete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
66,0,0,Complete,Compound,Incomplete,Independent,Dependent,Independent,,Complete,Compound,Incomplete,Independent,Dependent,Independent,,Complete,Compound,Incomplete,Independent,Dependent,Independent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,1,completeness_mismatch
67,1,0,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,No,,Incomplete,No,,No,No,No,No,No,No,0,,0,
68,1,0,Complete,Compound,Incomplete,Dependent,Independent,Dependent,,Complete,Compound,Incomplete,Dependent,Dependent,Independent,,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,1,completeness_mismatch
69,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
70,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
71,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
72,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
73,0,0,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
74,0,0,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,,Complete,Yes,Atomic,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;three_vs_seven;selfsuff_mismatch
75,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,Yes,No,Yes,No,1,holistic_vs_three;three_vs_seven,1,holistic_vs_seven;holistic_vs_three
76,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
77,0,0,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,Compound,Complete,Independent,Independent,Independent,Compound,Complete,No,,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three
78,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
79,0,0,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Complete,Compound,Incomplete,Dependent,Dependent,Dependent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,1,completeness_mismatch
80,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
81,0,0,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three,1,holistic_vs_seven;holistic_vs_three
82,1,0,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Incomplete,Independent,Dependent,Dependent,,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,No,,Complete,No,,No,No,No,No,No,No,1,completeness_mismatch,1,completeness_mismatch
83,1,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Compound,Complete,Yes,Compound,Yes,Yes,Yes,Yes,Yes,Yes,1,holistic_vs_three;three_vs_seven,1,holistic_vs_three;three_vs_seven
84,1,0,Complete,P,Complete,Independent,Independent,Independent,,Complete,P,Incomplete,Independent,Independent,Independent,,Complete,P,Complete,Independent,Independent,Independent,,Incomplete,No,,Incomplete,No,,Yes,Yes,No,No,No,No,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch,1,holistic_vs_seven;holistic_vs_three;selfsuff_mismatch
85,0,0,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic,Complete,Yes,Atomic,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,
86,1,1,Complete,Y,Incomplete,Dependent,Dependent,Dependent,,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,Y,Complete,Dependent,Dependent,Dependent,,Complete,Yes,Atomic,Complete,Yes,Atomic,No,No,No,No,No,No,1,holistic_vs_three;three_vs_seven;completeness_mismatch;selfsuff_mismatch,1,holistic_vs_three;three_vs_seven;selfsuff_mismatch
