id,fine,ekman,sentiment
167,excitement,joy,positive
168,neutral,neutral,neutral
169,annoyance,anger,negative
170,approval,neutral,positive
171,neutral,neutral,neutral
172,neutral,neutral,negative
173,admiration,joy,positive
174,neutral,neutral,ambiguous
175,curiosity,joy,ambiguous
176,disapproval,anger,negative
177,annoyance,anger,negative
178,annoyance,anger,negative
179,neutral,neutral,negative
180,anger,anger,negative
181,neutral,neutral,neutral
182,disapproval,anger,negative
183,approval,joy,positive
184,love,joy,positive
185,excitement,neutral,positive
186,fear,fear,negative
187,love,joy,positive
188,disapproval,anger,negative
189,disapproval,anger,negative
190,sadness,sadness,negative
191,disapproval,anger,negative
192,relief,joy,positive
193,neutral,neutral,neutral
194,optimism,joy,positive
195,annoyance,anger,negative
196,annoyance,anger,negative
197,admiration,joy,positive
198,approval,neutral,positive
199,admiration,joy,positive
200,annoyance,anger,negative
201,curiosity,neutral,ambiguous
202,desire,joy,positive
203,amusement,neutral,neutral
204,annoyance,neutral,negative
205,joy,joy,positive
206,neutral,neutral,neutral
207,admiration,neutral,positive
208,annoyance,anger,negative
209,admiration,joy,positive
210,admiration,joy,positive
211,fear,fear,negative
212,amusement,joy,positive
213,neutral,neutral,neutral
214,confusion,surprise,ambiguous
215,annoyance,anger,negative
216,amusement,neutral,neutral
217,caring,neutral,neutral
218,approval,joy,positive
219,disapproval,neutral,negative
220,disapproval,anger,negative
221,neutral,neutral,neutral
222,disgust,disgust,negative
223,approval,neutral,positive
224,disappointment,anger,negative
225,surprise,surprise,positive
226,disapproval,anger,negative
227,optimism,joy,positive
228,neutral,neutral,neutral
229,neutral,neutral,neutral
230,disapproval,anger,negative
231,joy,joy,positive
232,curiosity,neutral,ambiguous
233,disapproval,anger,negative
234,annoyance,anger,negative
235,curiosity,neutral,neutral
236,amusement,joy,positive
237,disgust,disgust,negative
238,disapproval,anger,negative
239,neutral,neutral,neutral
240,disapproval,neutral,negative
241,admiration,joy,positive
242,admiration,joy,positive
243,disapproval,anger,negative
244,disapproval,neutral,negative
245,excitement,joy,positive
246,approval,joy,positive
247,neutral,neutral,neutral
248,gratitude,joy,positive
249,gratitude,joy,positive
250,neutral,neutral,negative
251,neutral,neutral,neutral
252,realization,neutral,neutral
253,approval,neutral,positive
254,curiosity,neutral,ambiguous
255,neutral,neutral,neutral
256,disapproval,neutral,neutral
257,curiosity,neutral,ambiguous
258,admiration,neutral,negative
259,admiration,joy,positive
260,amusement,joy,negative
261,neutral,neutral,neutral
262,optimism,neutral,negative
263,neutral,neutral,neutral
264,admiration,joy,positive
265,fear,fear,neutral
266,disapproval,anger,negative
267,fear,fear,negative
268,optimism,joy,positive
269,disapproval,neutral,negative
270,disapproval,anger,negative
271,disapproval,anger,negative
272,neutral,neutral,neutral
273,nervousness,fear,negative
274,neutral,neutral,neutral
275,neutral,neutral,negative
276,annoyance,anger,negative
277,approval,joy,positive
278,neutral,neutral,neutral
279,annoyance,anger,negative
280,annoyance,neutral,neutral
281,approval,joy,positive
282,surprise,surprise,ambiguous
283,amusement,neutral,positive
284,fear,fear,negative
285,disapproval,disgust,negative
286,annoyance,anger,negative
287,annoyance,neutral,neutral
288,surprise,surprise,ambiguous
289,neutral,neutral,neutral
290,optimism,joy,positive
291,approval,neutral,neutral
292,amusement,neutral,neutral
293,caring,neutral,neutral
294,excitement,joy,positive
295,disapproval,anger,negative
296,joy,joy,positive
297,disapproval,anger,negative
298,approval,joy,positive
299,neutral,neutral,neutral
300,neutral,neutral,neutral
