id,label,flagged,repaired,conflicts
196,annoyance,0,0,
197,admiration,0,0,
198,neutral,0,1,
199,admiration,0,0,
200,annoyance,0,0,
201,neutral,0,1,
202,desire,0,0,
203,neutral,0,1,
204,neutral,0,1,
205,joy,0,0,
206,neutral,0,0,
207,neutral,0,1,
208,annoyance,0,0,
209,admiration,0,0,
210,admiration,0,0,
211,fear,0,0,
212,amusement,0,0,
213,neutral,0,0,
214,confusion,0,0,
215,annoyance,0,0,
216,neutral,0,1,
217,neutral,0,1,
218,approval,0,0,
219,neutral,0,1,
220,disapproval,0,0,
221,neutral,0,0,
222,disgust,0,0,
223,neutral,0,1,
224,disappointment,1,0,ekman:anger!=sadness
225,surprise,0,0,
226,disapproval,0,0,
227,optimism,0,0,
228,neutral,0,0,
229,neutral,0,0,
230,disapproval,0,0,
231,joy,0,0,
232,neutral,0,1,
233,disapproval,0,0,
234,annoyance,0,0,
235,neutral,0,1,
236,amusement,0,0,
237,disgust,0,0,
238,disapproval,0,0,
239,neutral,0,0,
240,neutral,0,1,
241,admiration,0,0,
242,admiration,0,0,
243,disapproval,0,0,
244,neutral,0,1,
245,excitement,0,0,
246,approval,0,0,
247,neutral,0,0,
248,gratitude,0,0,
249,gratitude,0,0,
250,neutral,0,0,
251,neutral,0,0,
252,neutral,0,1,
253,neutral,0,1,
254,neutral,0,1,
255,neutral,0,0,
256,neutral,0,1,
257,neutral,0,1,
258,neutral,0,1,
259,admiration,0,0,
260,amusement,0,0,
261,neutral,0,0,
262,neutral,0,1,
263,neutral,0,0,
264,admiration,0,0,
265,fear,0,0,
266,disapproval,0,0,
267,fear,0,0,
268,optimism,0,0,
269,neutral,0,1,
270,disapproval,0,0,
271,disapproval,0,0,
272,neutral,0,0,
273,nervousness,0,0,
274,neutral,0,0,
275,neutral,0,0,
276,annoyance,0,0,
277,approval,0,0,
278,neutral,0,0,
279,annoyance,0,0,
280,neutral,0,1,
281,approval,0,0,
282,surprise,0,0,
283,neutral,0,1,
284,fear,0,0,
285,disgust,0,1,
286,annoyance,0,0,
287,neutral,0,1,
288,surprise,0,0,
289,neutral,0,0,
290,optimism,0,0,
291,neutral,0,1,
292,neutral,0,1,
293,neutral,0,1,
294,excitement,0,0,
295,disapproval,0,0,
296,joy,0,0,
297,disapproval,0,0,
298,approval,0,0,
299,neutral,0,0,
300,neutral,0,0,
